,ID,Unnamed:_0,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
39,40502022,39,G2 Esports  vs Royal Never Give Up ,G2 Esports vs RNG 0,1,MSI,MSI 2022,G2 Esports ,Royal Never Give Up ,2022-05-20,0,blue,21,14,35,9,3,12,3,0,3,2,0,2,67.6,59.9,127.5,blue,449,blue,767,red,449,blue,539,blue,1266,2192,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Bin,Wei,xiaohu,GALA,Ming,"
40,41502022,40,Saigon Buffalo  vs Evil Geniuses ,SGB vs EG 0,1,MSI,MSI 2022,Saigon Buffalo ,Evil Geniuses ,2022-05-20,0,red,11,20,31,3,8,11,1,0,1,0,1,1,46.8,57.1,103.9,red,189,red,773,red,189,red,748,red,1543,1725,"Hasmed,BeanJ,Froggy,Shogun,Taki,","Impact,Inspired,jojopyun,Danny,Vulcan,"
41,42502022,41,PSG Talon  vs T1 ,PSG Talon vs T1 0,1,MSI,MSI 2022,PSG Talon ,T1 ,2022-05-20,0,red,9,15,24,0,11,11,1,0,1,0,2,2,51.8,68.3,120.1,red,196,red,969,red,196,red,540,red,1433,1990,"Hanabi,Juhan,Bay,Unified,Kaiwing,","Zeus,Oner,Faker,Gumayusi,Keria,"
42,43502022,42,G2 Esports  vs Evil Geniuses ,G2 Esports vs EG 0,1,MSI,MSI 2022,G2 Esports ,Evil Geniuses ,2022-05-21,0,blue,16,8,24,9,3,12,3,0,3,1,0,1,64.8,54.8,119.6,blue,286,red,1007,blue,286,red,513,blue,1774,2032,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Impact,Inspired,jojopyun,Danny,Vulcan,"
43,44502022,43,Royal Never Give Up  vs PSG Talon ,RNG vs PSG Talon 0,1,MSI,MSI 2022,Royal Never Give Up ,PSG Talon ,2022-05-21,0,blue,11,3,14,11,2,13,3,0,3,2,0,2,63.5,48.5,112.0,blue,416,red,859,blue,416,blue,586,blue,1389,1881,"Bin,Wei,xiaohu,GALA,Ming,","Hanabi,Juhan,Bay,Unified,Kaiwing,"
44,45502022,44,T1  vs Saigon Buffalo ,T1 vs SGB 0,1,MSI,MSI 2022,T1 ,Saigon Buffalo ,2022-05-21,0,blue,20,6,26,9,1,10,1,0,1,1,0,1,50.3,35.8,86.1,blue,309,blue,764,red,309,blue,541,blue,1266,1375,"Zeus,Oner,Faker,Gumayusi,Keria,","Hasmed,BeanJ,Froggy,Shogun,Taki,"
45,46502022,45,PSG Talon  vs Evil Geniuses ,PSG Talon vs EG 0,1,MSI,MSI 2022,PSG Talon ,Evil Geniuses ,2022-05-21,0,red,3,19,22,3,11,14,0,0,0,0,2,2,52.9,69.9,122.8,blue,555,blue,952,blue,547,blue,547,red,1571,2099,"Hanabi,Juhan,Bay,Unified,Kaiwing,","Impact,Inspired,jojopyun,Danny,Vulcan,"
46,47502022,46,Royal Never Give Up  vs T1 ,RNG vs T1 0,1,MSI,MSI 2022,Royal Never Give Up ,T1 ,2022-05-21,0,blue,24,14,38,9,6,15,2,0,2,1,1,2,63.3,57.8,121.1,red,363,red,604,red,363,red,538,red,1284,1957,"Bin,Wei,xiaohu,GALA,Ming,","Zeus,Oner,Faker,Gumayusi,Keria,"
47,48502022,47,Saigon Buffalo  vs G2 Esports ,SGB vs G2 Esports 0,1,MSI,MSI 2022,Saigon Buffalo ,G2 Esports ,2022-05-21,0,red,6,22,28,2,7,9,0,0,0,0,1,1,38.9,49.0,87.9,red,170,red,837,red,170,blue,527,red,1273,1398,"Hasmed,BeanJ,Froggy,Shogun,Taki,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
48,49502022,48,Evil Geniuses  vs T1 ,EG vs T1 0,1,MSI,MSI 2022,Evil Geniuses ,T1 ,2022-05-22,0,red,4,12,16,1,8,9,1,0,1,0,1,1,39.9,51.0,90.9,red,571,red,602,red,529,red,529,red,1373,1503,"Impact,Inspired,jojopyun,Danny,Vulcan,","Zeus,Oner,Faker,Keria,Gumayusi,"
